,2,Wc,,,,,,,,,,W1d,,,,,W2d,,,,
FSs_,0,1.31E-04,9.03E-04,0.00E+00,9.64E-03,0.00E+00,2.37E-02,6.66E-03,6.12E-02,1.52E-04,2.68E-04,0.00E+00,0.00E+00,1.25E-03,7.74E-03,0.00E+00,1.59E-02,0.00E+00,0.00E+00,1.15E-02,1.73E-02
fff,0,2.91E-02,2.90E-03,4.95E-03,4.61E-03,0.00E+00,0.00E+00,3.33E-04,6.89E-04,8.15E-03,0.00E+00,3.28E-01,0.00E+00,0.00E+00,0.00E+00,6.73E-03,0.00E+00,0.00E+00,0.00E+00,1.13E-03,0.00E+00
_FFS,0,0.00E+00,6.01E-03,2.70E-03,5.52E-04,0.00E+00,1.43E-02,5.06E-03,1.59E-03,6.11E-02,1.37E-03,0.00E+00,2.53E-02,0.00E+00,5.60E-03,0.00E+00,2.54E-02,0.00E+00,9.45E-02,0.00E+00,0.00E+00
_EE,0,0.00E+00,1.28E-03,4.03E-02,1.12E-04,0.00E+00,2.93E-02,0.00E+00,3.61E-04,5.84E-03,8.49E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.11E-01,0.00E+00,5.63E-02,0.00E+00
_FFf,0,1.42E-02,0.00E+00,0.00E+00,1.39E-02,5.22E-02,0.00E+00,0.00E+00,2.58E-03,7.88E-04,8.51E-04,2.60E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.71E-02,0.00E+00,0.00E+00
_fs_,0,7.67E-02,0.00E+00,0.00E+00,2.47E-04,0.00E+00,0.00E+00,3.87E-03,3.70E-03,1.61E-03,8.67E-04,8.51E-03,1.71E-03,0.00E+00,3.24E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ffs_,0,3.50E-02,8.22E-03,2.11E-03,1.84E-04,5.72E-03,0.00E+00,2.40E-03,1.02E-03,1.11E-03,0.00E+00,9.04E-02,5.29E-02,5.26E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.08E-04,0.00E+00
FSss,0,0.00E+00,2.61E-04,0.00E+00,1.50E-02,0.00E+00,0.00E+00,1.57E-02,2.04E-03,2.26E-03,6.62E-04,2.18E-03,0.00E+00,0.00E+00,0.00E+00,1.44E-02,0.00E+00,0.00E+00,5.07E-03,0.00E+00,1.03E-02
_ff,0,1.96E-02,5.51E-03,0.00E+00,1.15E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.07E-01,0.00E+00,8.87E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
eeee,0,0.00E+00,6.92E-02,3.54E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.30E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
C_0,,1.12E-02,2.49E-02,4.29E-03,3.52E-02,6.18E-03,4.16E-03,2.75E-02,2.80E-02,5.32E-03,1.61E-02,2.57E-02,3.38E-03,3.21E-03,3.44E-03,2.80E-02,1.95E-02,1.32E-02,9.14E-03,1.54E-02,3.31E-03
