,W1c,,,,,,,,W1d,,,,,,W2d,,,,,
FSs_,1.60E-03,0.00E+00,0.00E+00,7.24E-02,2.34E-02,6.94E-03,0.00E+00,1.19E-02,0.00E+00,1.72E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.26E-02,0.00E+00,0.00E+00,6.97E-03,0.00E+00
_Ffs_,6.22E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.54E-03,1.90E-03,6.32E-03,1.35E-02,1.13E-02,1.44E-01,0.00E+00,0.00E+00,2.53E-02,0.00E+00,1.03E-02,0.00E+00,0.00E+00,0.00E+00
fff,3.07E-02,2.07E-03,0.00E+00,1.77E-04,2.60E-03,0.00E+00,2.15E-03,5.49E-03,2.66E-01,0.00E+00,1.14E-01,0.00E+00,1.01E-01,4.85E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_FFS,1.13E-02,4.04E-03,0.00E+00,5.73E-03,8.56E-06,3.42E-02,6.82E-03,0.00E+00,0.00E+00,1.03E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E-01,0.00E+00,2.53E-02,0.00E+00,0.00E+00,0.00E+00
_EE,0.00E+00,5.22E-05,3.75E-04,2.31E-03,4.48E-04,4.19E-02,1.64E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.75E-01,0.00E+00,1.12E-01
_FFf,2.84E-02,0.00E+00,8.11E-03,5.04E-04,1.88E-02,0.00E+00,0.00E+00,4.63E-04,4.38E-03,0.00E+00,4.30E-02,0.00E+00,0.00E+00,3.12E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.19E-04,1.07E-01
_fs_,3.56E-02,3.07E-03,1.11E-02,0.00E+00,0.00E+00,0.00E+00,6.10E-03,8.73E-04,0.00E+00,1.05E-02,8.23E-02,3.68E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ffs_,1.53E-02,3.56E-03,1.30E-02,1.27E-03,0.00E+00,1.19E-03,3.28E-03,5.82E-03,3.06E-02,0.00E+00,1.06E-01,0.00E+00,6.55E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FSss,7.11E-04,1.89E-02,0.00E+00,5.07E-03,8.23E-03,0.00E+00,0.00E+00,4.87E-03,2.74E-03,0.00E+00,0.00E+00,0.00E+00,1.08E-03,1.51E-02,6.36E-03,0.00E+00,0.00E+00,0.00E+00,8.20E-03,0.00E+00
_ff,2.44E-03,4.43E-03,1.16E-03,0.00E+00,7.26E-03,0.00E+00,4.11E-03,5.25E-03,8.29E-02,0.00E+00,7.80E-02,0.00E+00,1.67E-02,2.47E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
eeee,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.22E-02,0.00E+00,1.05E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.24E-01,1.49E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
