,,,,,Wc,,,,,,,,W1d,,,,,,W2d,,,,,
_Ffs_,0,0,0,0,8.75E-02,0.00E+00,0.00E+00,9.39E-04,8.98E-03,0.00E+00,0.00E+00,0.00E+00,6.53E-02,0.00E+00,7.51E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.40E-02,1.06E-02
fff,0,0,0,0,1.12E-02,0.00E+00,4.94E-02,0.00E+00,5.64E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.60E-01,3.32E-02,1.54E-01,8.55E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_FFS,0,0,0,0,6.13E-03,2.38E-03,7.13E-03,2.75E-03,1.03E-02,0.00E+00,2.89E-03,1.80E-03,0.00E+00,0.00E+00,0.00E+00,8.06E-02,0.00E+00,0.00E+00,0.00E+00,2.24E-03,1.14E-04,0.00E+00,1.12E-01,2.90E-02
_EE,0,0,0,4,0.00E+00,3.97E-02,0.00E+00,0.00E+00,9.98E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.74E-02,0.00E+00,1.71E-02,0.00E+00,3.63E-03,4.86E-01,0.00E+00,3.65E-02,0.00E+00,0.00E+00,0.00E+00
_FFf,0,0,0,0,1.88E-02,0.00E+00,1.60E-02,0.00E+00,0.00E+00,1.33E-02,0.00E+00,8.42E-03,0.00E+00,0.00E+00,1.98E-02,0.00E+00,2.26E-02,5.01E-03,0.00E+00,0.00E+00,8.65E-02,0.00E+00,0.00E+00,0.00E+00
_fs_,0,0,0,0,3.61E-02,0.00E+00,0.00E+00,2.54E-03,6.54E-03,2.40E-02,3.37E-03,0.00E+00,6.27E-03,0.00E+00,8.97E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ffs_,0,0,0,0,6.70E-03,3.74E-03,1.11E-02,2.22E-04,3.00E-03,1.02E-03,1.85E-03,0.00E+00,4.13E-02,2.39E-02,4.57E-02,3.16E-03,8.89E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FSss,0,0,0,0,1.04E-03,0.00E+00,1.55E-02,0.00E+00,0.00E+00,1.02E-03,9.98E-03,1.19E-02,0.00E+00,2.04E-03,0.00E+00,0.00E+00,0.00E+00,1.54E-02,0.00E+00,1.56E-02,0.00E+00,0.00E+00,4.40E-03,0.00E+00
_ff,0,0,0,0,1.00E-03,0.00E+00,2.01E-02,0.00E+00,5.93E-03,1.44E-03,1.32E-03,1.55E-03,0.00E+00,0.00E+00,8.67E-02,2.17E-03,4.62E-02,6.33E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.26E-03,0.00E+00
eeee,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.78E-02,0.00E+00,0.00E+00,3.17E-02,0.00E+00,2.20E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
