,(W1c+W2c)/2,,,,,,,,W1d,,,,,,,,,,,,,,W2d,,,,,,,,,,,,,
ffs,4.16E-03,1.37E-03,0.00E+00,1.51E-02,5.23E-02,5.53E-04,2.38E-02,1.07E-02,1.43E-02,0.00E+00,0.00E+00,8.21E-02,2.79E-02,0.00E+00,0.00E+00,7.38E-02,5.28E-02,0.00E+00,0.00E+00,8.79E-02,7.20E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.83E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_ss,6.76E-03,4.15E-02,3.52E-04,0.00E+00,1.39E-02,0.00E+00,3.15E-02,2.07E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.86E-02,4.71E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.30E-03,0.00E+00,0.00E+00,0.00E+00,5.41E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.31E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_Ffs,0.00E+00,0.00E+00,1.13E-04,3.34E-04,4.83E-02,8.89E-03,3.83E-02,1.50E-02,0.00E+00,5.00E-02,0.00E+00,0.00E+00,0.00E+00,1.81E-01,2.77E-02,0.00E+00,1.81E-02,0.00E+00,0.00E+00,1.14E-02,4.29E-04,0.00E+00,4.60E-03,0.00E+00,1.03E-02,0.00E+00,0.00E+00,4.51E-03,3.59E-02,0.00E+00,1.02E-04,0.00E+00,4.16E-03,0.00E+00,4.24E-02,0.00E+00
fsss,2.01E-04,1.68E-05,1.27E-03,6.69E-04,2.76E-02,5.95E-04,6.62E-05,6.27E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.63E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.50E-03,0.00E+00,0.00E+00,0.00E+00,6.42E-04,0.00E+00,0.00E+00,0.00E+00,2.22E-04,0.00E+00
sssss,0.00E+00,3.27E-03,0.00E+00,0.00E+00,0.00E+00,5.97E-04,5.90E-04,9.90E-02,0.00E+00,0.00E+00,2.76E-01,0.00E+00,0.00E+00,0.00E+00,1.33E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_Ssss,0.00E+00,4.17E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.08E-02,0.00E+00,0.00E+00,4.78E-02,0.00E+00,2.29E-02,0.00E+00,1.70E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.73E-03,2.67E-04,0.00E+00
Fff,3.18E-04,0.00E+00,7.57E-04,1.21E-02,4.42E-02,0.00E+00,2.86E-02,9.83E-03,1.58E-02,7.13E-02,0.00E+00,2.55E-02,0.00E+00,0.00E+00,0.00E+00,4.19E-02,9.84E-02,0.00E+00,0.00E+00,3.25E-02,5.50E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.87E-03,0.00E+00,0.00E+00,1.03E-01,0.00E+00,0.00E+00
_FSs,9.46E-02,1.53E-02,3.60E-04,2.01E-03,2.46E-02,1.57E-04,0.00E+00,1.30E-02,7.77E-04,0.00E+00,9.96E-03,0.00E+00,0.00E+00,0.00E+00,1.25E-02,0.00E+00,1.42E-02,5.03E-03,6.15E-03,0.00E+00,2.43E-03,0.00E+00,1.45E-02,0.00E+00,0.00E+00,0.00E+00,7.05E-03,9.96E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.19E-04,0.00E+00,0.00E+00,0.00E+00
_SS,1.26E-03,5.55E-02,0.00E+00,0.00E+00,0.00E+00,8.08E-04,0.00E+00,0.00E+00,0.00E+00,2.71E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.71E-02,0.00E+00,0.00E+00,2.31E-04,1.26E-01,0.00E+00,0.00E+00,0.00E+00,2.20E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.36E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_ee_,3.46E-02,0.00E+00,0.00E+00,1.16E-03,0.00E+00,1.29E-01,0.00E+00,0.00E+00,2.06E-03,0.00E+00,0.00E+00,1.15E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.66E-02,5.76E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.74E-03,0.00E+00,9.92E-03,0.00E+00,0.00E+00,2.53E-03,4.87E-04,0.00E+00,0.00E+00
